plant_id,name,utility_name,city,state,county,zipcode,lat,lng,sector,source
1,Sand Point,"Sand Point Generating, LLC",Sand Point,AK,Aleutians East,99661,55.339722,-160.497222,Electric Utility,eia_860_2024
2,Bankhead Dam,Alabama Power Co,Northport,AL,Tuscaloosa,35476,33.458665,-87.356823,Electric Utility,eia_860_2024
3,Barry,Alabama Power Co,Bucks,AL,Mobile,36512,31.0069,-88.0103,Electric Utility,eia_860_2024
4,Walter Bouldin Dam,Alabama Power Co,Wetumpka,AL,Elmore,36092,32.583889,-86.283056,Electric Utility,eia_860_2024
7,Gadsden,Alabama Power Co,Gadsden,AL,Etowah,35903,34.0128,-85.9708,Electric Utility,eia_860_2024
8,Gorgas,Alabama Power Co,Parrish,AL,Walker,35580,33.644344,-87.196486,Electric Utility,eia_860_2024
9,Copper,El Paso Electric Co,El Paso,TX,El Paso,79915,31.7569,-106.375,Electric Utility,eia_860_2024
10,Greene County,Alabama Power Co,Demopolis,AL,Greene,36732,32.6017,-87.7811,Electric Utility,eia_860_2024
11,H Neely Henry Dam,Alabama Power Co,Ohatchee,AL,Calhoun,36271,33.7845,-86.0524,Electric Utility,eia_860_2024
12,Holt Dam,Alabama Power Co,Tuscaloosa,AL,Tuscaloosa,35476,33.2553,-87.4495,Electric Utility,eia_860_2024
13,Jordan Dam,Alabama Power Co,Wetumpka,AL,Elmore,36092,32.6189,-86.2548,Electric Utility,eia_860_2024
14,Logan Martin Dam,Alabama Power Co,Vincent,AL,Talladega,35178,33.425878,-86.337547,Electric Utility,eia_860_2024
15,Lay Dam,Alabama Power Co,Clanton,AL,Chilton,35045,32.9633,-86.5187,Electric Utility,eia_860_2024
16,Martin Dam,Alabama Power Co,Dadeville,AL,Elmore,36078,32.680394,-85.911442,Electric Utility,eia_860_2024
17,Mitchell Dam,Alabama Power Co,Verbena,AL,Coosa,36091,32.806025,-86.444892,Electric Utility,eia_860_2024
18,Lewis Smith Dam,Alabama Power Co,Jasper,AL,Walker,35501,33.9406,-87.1077,Electric Utility,eia_860_2024
19,Thurlow Dam,Alabama Power Co,Tallassee,AL,Elmore,36078,32.535436,-85.887614,Electric Utility,eia_860_2024
20,Weiss Dam,Alabama Power Co,Leesburg,AL,Cherokee,35983,34.172142,-85.753806,Electric Utility,eia_860_2024
21,Yates Dam,Alabama Power Co,Tallassee,AL,Elmore,36078,32.5743,-85.8901,Electric Utility,eia_860_2024
26,E C Gaston,Alabama Power Co,Wilsonville,AL,Shelby,35186,33.244211,-86.458056,Electric Utility,eia_860_2024
30,Madelia,City of Madelia - (MN),City of Madelia,MN,Watonwan,56062,44.0501,-94.4178,Electric Utility,eia_860_2024
34,Rollins,Nevada Irrigation District,Colfax,CA,Placer,95713,39.134259,-120.953341,IPP Non-CHP,eia_860_2024
38,Millers Ferry,USCE-Mobile District,Camden,AL,Wilcox,36726,32.100881,-87.399767,Electric Utility,eia_860_2024
46,Browns Ferry,Tennessee Valley Authority,Decatur,AL,Limestone,35609,34.7042,-87.1189,Electric Utility,eia_860_2024
47,Colbert,Tennessee Valley Authority,Tuscumbia,AL,Colbert,35674,34.7439,-87.8486,Electric Utility,eia_860_2024
48,Guntersville,Tennessee Valley Authority,Guntersville,AL,Marshall,35976,34.421272,-86.393931,Electric Utility,eia_860_2024
49,Wheeler Dam,Tennessee Valley Authority,Town Creek,AL,Lawrence,35672,34.8069,-87.3819,Electric Utility,eia_860_2024
50,Widows Creek,Tennessee Valley Authority,Stevenson,AL,Jackson,35772,34.883022,-85.755253,Electric Utility,eia_860_2024
51,Dolet Hills,Cleco Power LLC,Mansfield,LA,DeSoto,71052,32.030556,-93.569167,Electric Utility,eia_860_2024
53,Gantt,PowerSouth Energy Cooperative,Andalusia,AL,Covington,36421,31.4033,-86.479469,Electric Utility,eia_860_2024
54,J K Smith,"East Kentucky Power Coop, Inc",Winchester,KY,Clark,40391,37.8833,-84.1017,Electric Utility,eia_860_2024
55,Point A,PowerSouth Energy Cooperative,Andalusia,AL,Covington,36421,31.361146,-86.518307,Electric Utility,eia_860_2024
56,Lowman Energy Center,PowerSouth Energy Cooperative,Leroy,AL,Washington,36548,31.488019,-87.910747,Electric Utility,eia_860_2024
59,Platte,City of Grand Island - (NE),Grand Island,NE,Hall,68801,40.854765,-98.348222,Electric Utility,eia_860_2024
60,Whelan Energy Center,City of Hastings - (NE),Hastings,NE,Adams,68902,40.580872,-98.312437,Electric Utility,eia_860_2024
62,Annex Creek,Alaska Electric Light & Power Co.,Juneau,AK,Juneau,99801,58.3176,-134.101,Electric Utility,eia_860_2024
63,Gold Creek,Alaska Electric Light & Power Co.,Juneau,AK,Juneau,99801,58.3107,-134.4174,Electric Utility,eia_860_2024
64,Lemon Creek,Alaska Electric Light & Power Co.,Juneau,AK,Juneau,99801,58.3536,-134.4953,Electric Utility,eia_860_2024
65,Salmon Creek 1,Alaska Electric Light & Power Co.,Juneau,AK,Juneau,99801,58.3269,-134.4631,Electric Utility,eia_860_2024
66,Skagway,Alaska Power and Telephone Co,Skagway,AK,Skagway Hoonah Angoon,99840,59.4545,-135.3131,Electric Utility,eia_860_2024
69,Haines,Alaska Power and Telephone Co,Haines,AK,Haines,99927,59.235931,-135.446228,Electric Utility,eia_860_2024
70,Swan Lake,Southeast Alaska Power Agency,Ketchikan,AK,Ketchikan Gateway,99901,55.615208,-131.356111,Commercial Non-CHP,eia_860_2024
71,Terror Lake Microgrid,Kodiak Electric Assn Inc,Kodiak,AK,Kodiak Island,99615,57.6861,-152.895,Electric Utility,eia_860_2024
72,Venice Hydro,Metropolitan Water District of S CA,Culver City,CA,Los Angeles,90230,34.01135,-118.4168,Electric Utility,eia_860_2024
75,Hank Nikkels Plant 1,Chugach Electric Assn Inc,Anchorage,AK,Anchorage,99501,61.2221,-149.8661,Electric Utility,eia_860_2024
77,Eklutna Hydro Project,Chugach Electric Assn Inc,Palmer,AK,Matanuska Susitna,99645,61.475211,-149.15009,Electric Utility,eia_860_2024
78,Snettisham,Alaska Electric Light & Power Co.,Juneau,AK,Juneau,99801,58.1415,-133.737,Electric Utility,eia_860_2024
79,Chena Power Plant,Aurora Energy LLC,Fairbanks,AK,Fairbanks North Star,99701,64.847743,-147.735063,IPP CHP,eia_860_2024
84,Ketchikan,Ketchikan Public Utilities,Ketchikan,AK,Ketchikan Gateway,99901,55.344641,-131.633425,Electric Utility,eia_860_2024
85,S W Bailey,Ketchikan Public Utilities,Ketchikan,AK,Ketchikan Gateway,99901,55.357397,-131.69696,Electric Utility,eia_860_2024
87,Escalante,"Tri-State G & T Assn, Inc",Prewitt,NM,McKinley,87045,35.4159,-108.082,Electric Utility,eia_860_2024
88,Ashokan,New York Power Authority,Kingston,NY,Ulster,12401,41.949,-74.2063,Electric Utility,eia_860_2024
90,Snake River,Nome Joint Utility Systems,Nome,AK,Nome,99762,64.505331,-165.429814,Electric Utility,eia_860_2024
91,Petersburg,Petersburg Borough - (AK),Petersburg,AK,Wrangell Petersburg,99833,56.81104,-132.957091,Electric Utility,eia_860_2024
92,Seward (AK),City of Seward - (AK),Seward,AK,Kenai Peninsula,99664,60.130922,-149.43501,Electric Utility,eia_860_2024
93,Blue Lake Hydro,City & Borough of Sitka - (AK),Sitka,AK,Sitka,99835,57.0516,-135.2297,Electric Utility,eia_860_2024
95,Wrangell,City of Wrangell - (AK),Wrangell,AK,Wrangell Petersburg,99929,56.460976,-132.379439,Electric Utility,eia_860_2024
