plant_id,plant_name,utility_name,state,county,generator_id,status,technology
141,Agua Fria,Salt River Project,AZ,Maricopa,PV-3,OP,Solar Photovoltaic
645,Big Bend,Tampa Electric Co,FL,Hillsborough,1,OP,Solar Photovoltaic
944,Geneseo,City of Geneseo - (IL),IL,Henry,12,OP,Solar Photovoltaic
960,North Ninth Street,Rochelle Municipal Utilities,IL,Ogle,SOL1,OP,Solar Photovoltaic
1016,Butler-Warner Generation Plant,Fayetteville Public Works Commission,NC,Cumberland,10,OP,Solar Photovoltaic
1172,Osage (IA),City of Osage - (IA),IA,Mitchell,SO,OP,Solar Photovoltaic
1355,E W Brown,Kentucky Utilities Co,KY,Mercer,SOLAR,OP,Solar Photovoltaic
2240,Lon Wright,City of Fremont - (NE),NE,Dodge,SLR1,OP,Solar Photovoltaic
2240,Lon Wright,City of Fremont - (NE),NE,Dodge,SLR2,OP,Solar Photovoltaic
2854,Yankee Street,Kimura Power LLC,OH,Montgomery,YS1,OP,Solar Photovoltaic
2953,Mustang,Oklahoma Gas & Electric Co,OK,Canadian,SLR1,OP,Solar Photovoltaic
6074,Greenwood (MO),Evergy Missouri West,MO,Jackson,5,OP,Solar Photovoltaic
6081,Stony Brook,Massachusetts Mun Wholes Electric Co,MA,Hampden,5051S,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV1,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV10,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV11,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV12,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV13,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV14,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV15,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV16,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV17,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV2,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV3,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV4,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV5,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV6,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV7,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV8,OP,Solar Photovoltaic
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,PV9,OP,Solar Photovoltaic
7790,Bonanza,Deseret Generation & Tran Coop,UT,Uintah,4,OP,Solar Photovoltaic
8223,Springerville,Tucson Electric Power Co,AZ,Apache,SGSS,OP,Solar Photovoltaic
8223,Springerville,Tucson Electric Power Co,AZ,Apache,SGSS1,OP,Solar Photovoltaic
8223,Springerville,Tucson Electric Power Co,AZ,Apache,WMS,OP,Solar Photovoltaic
10029,General Electric Aircraft Engines,General Electric Aircraft Engines,MA,Essex,PV,OP,Solar Photovoltaic
10224,Merck Rahway Power Plant,Merck & Co Inc,NJ,Union,SOLAR,OP,Solar Photovoltaic
