plant_id,plant_name,utility_name,state,county,generator_id,status,technology
1,Sand Point,"Sand Point Generating, LLC",AK,Aleutians East,WT1,OS,Onshore Wind Turbine
1,Sand Point,"Sand Point Generating, LLC",AK,Aleutians East,WT2,OS,Onshore Wind Turbine
90,Snake River,Nome Joint Utility Systems,AK,Nome,EWT 1,OP,Onshore Wind Turbine
90,Snake River,Nome Joint Utility Systems,AK,Nome,EWT 2,OP,Onshore Wind Turbine
508,Lamar Plant,City of Lamar - (CO),CO,Prowers,T1-T3,OP,Onshore Wind Turbine
508,Lamar Plant,City of Lamar - (CO),CO,Prowers,T4,OP,Onshore Wind Turbine
944,Geneseo,City of Geneseo - (IL),IL,Henry,10,OP,Onshore Wind Turbine
944,Geneseo,City of Geneseo - (IL),IL,Henry,11,OP,Onshore Wind Turbine
1172,Osage (IA),City of Osage - (IA),IA,Mitchell,W1,OP,Onshore Wind Turbine
1998,Mountain Lake,City of Mountain Lake - (MN),MN,Cottonwood,8,OP,Onshore Wind Turbine
2022,Willmar,Willmar Municipal Utilities,MN,Kandiyohi,WTG3,OP,Onshore Wind Turbine
2022,Willmar,Willmar Municipal Utilities,MN,Kandiyohi,WTG4,OP,Onshore Wind Turbine
2024,Worthington,City of Worthington - (MN),MN,Nobles,10,OP,Onshore Wind Turbine
2024,Worthington,City of Worthington - (MN),MN,Nobles,11,OP,Onshore Wind Turbine
2024,Worthington,City of Worthington - (MN),MN,Nobles,12,OP,Onshore Wind Turbine
2024,Worthington,City of Worthington - (MN),MN,Nobles,13,OP,Onshore Wind Turbine
2024,Worthington,City of Worthington - (MN),MN,Nobles,8,OP,Onshore Wind Turbine
2024,Worthington,City of Worthington - (MN),MN,Nobles,9,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,11wt,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,13WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,14wt,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,15WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,16WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,17WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,18WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,19WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,1WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,2WT,OP,Onshore Wind Turbine
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,AK,NORTHWEST ARCTIC,3WT,OP,Onshore Wind Turbine
7381,Searsburg Wind Turbine,Green Mountain Power Corp,VT,Bennington,1,OP,Onshore Wind Turbine
7501,Princeton Wind Farm,Town of Princeton - (MA),MA,Worcester,2,OP,Onshore Wind Turbine
7526,Solano Wind,Sacramento Municipal Util Dist,CA,Solano,2,OP,Onshore Wind Turbine
7526,Solano Wind,Sacramento Municipal Util Dist,CA,Solano,2B,OP,Onshore Wind Turbine
7526,Solano Wind,Sacramento Municipal Util Dist,CA,Solano,3,OP,Onshore Wind Turbine
7526,Solano Wind,Sacramento Municipal Util Dist,CA,Solano,4,OP,Onshore Wind Turbine
7771,Springview,Bluestem LLC,NE,Keya Paha,3,OP,Onshore Wind Turbine
7771,Springview,Bluestem LLC,NE,Keya Paha,4,OP,Onshore Wind Turbine
7855,Moorhead Wind Turbine,City of Moorhead - (MN),MN,Clay,8,OP,Onshore Wind Turbine
7855,Moorhead Wind Turbine,City of Moorhead - (MN),MN,Clay,9,OP,Onshore Wind Turbine
7886,Wind Turbine,Madison Gas & Electric Co,WI,Kewaunee,1,OP,Onshore Wind Turbine
7927,Buffalo Mountain,Tennessee Valley Authority,TN,Anderson,1,OP,Onshore Wind Turbine
7927,Buffalo Mountain,Tennessee Valley Authority,TN,Anderson,2,OP,Onshore Wind Turbine
7927,Buffalo Mountain,Tennessee Valley Authority,TN,Anderson,3,OP,Onshore Wind Turbine
7936,Nine Canyon,Energy Northwest,WA,Benton,1,OP,Onshore Wind Turbine
7966,Iowa Distributed Wind Generation Project,City of Algona - (IA),IA,Kossuth,IDWG,OP,Onshore Wind Turbine
10005,Dinosaur Point,International Turbine Res Inc,CA,Merced,WTGS,OS,Onshore Wind Turbine
10191,Tehachapi Wind Resource I,CalWind Resources Inc,CA,Kern,EXIS,OP,Onshore Wind Turbine
10586,Cameron Ridge LLC,Terra-Gen Operating Co-Wind,CA,Kern,EXIS,OP,Onshore Wind Turbine
10597,Ridgetop Energy LLC,Terra-Gen Operating Co-Wind,CA,Kern,WGN1,OP,Onshore Wind Turbine
10718,Karen Avenue Wind Farm,San Gorgonio Farms Inc,CA,Riverside,WND,OP,Onshore Wind Turbine
10823,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,MA,Suffolk,WT101,OP,Onshore Wind Turbine
10823,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,MA,Suffolk,WT102,OP,Onshore Wind Turbine
50281,San Gorgonio Farms Wind Farm,San Gorgonio Farms Inc,CA,Riverside,WGEN,OP,Onshore Wind Turbine
50532,Victory Garden (Tehachapi),Wind Stream Operations LLC,CA,Kern,15SLE,OP,Onshore Wind Turbine
50532,Victory Garden (Tehachapi),Wind Stream Operations LLC,CA,Kern,WGNS,OP,Onshore Wind Turbine
50533,Painted Hills Wind Park,Terra-Gen Operating Co-Wind,CA,Riverside,PHW,OP,Onshore Wind Turbine
50535,Mesa Wind Power LLC,Brookfield Renewable Trading and Marketing LP,CA,Riverside,WGNS,OP,Onshore Wind Turbine
50536,Sky River Wind Energy Center,Sky River Wind LLC,CA,Kern,SRW1,OP,Onshore Wind Turbine
50552,Salka Cabazon Wind,Salka Cabazon Wind LLC,CA,Riverside,WGNS,OP,Onshore Wind Turbine
50553,Edom Hills Project 1 LLC,Edom Hills Project 1 LLC,CA,Riverside,1,OP,Onshore Wind Turbine
50690,San Gorgonio Westwinds II LLC,Terra-Gen Operating Co-Wind,CA,Riverside,GEN1,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN1,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN2,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN3,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN4,OP,Onshore Wind Turbine
50820,East Winds Project,Terra-Gen Operating Co-Wind,CA,Riverside,GEN1,OP,Onshore Wind Turbine
50821,Mojave 16/17/18,Terra-Gen Operating Co-Wind,CA,Kern,GEN1,OP,Onshore Wind Turbine
52142,Mojave 3/4/5,Terra-Gen Operating Co-Wind,CA,Kern,GEN1,OP,Onshore Wind Turbine
