osm_id,osm_type,infra_type,country,iso_code,region,name,operator,voltage_kv,cables,circuits,frequency_hz,substation_type,gas_substance,location,start_date,lat,lon,fetched_at
29329906,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,53.518445,-2.6102402,2026-04-09T00:39:11.405648Z
30163062,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,,,53.3408465,-2.7141239,2026-04-09T00:39:11.405673Z
30286792,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,,,53.7881153,-1.5427909,2026-04-09T00:39:11.405678Z
31110556,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,51.9286081,-1.9741274,2026-04-09T00:39:11.405776Z
33516270,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.1113008,-1.7632422,2026-04-09T00:39:11.406028Z
33721437,way,gas_pipeline,United Kingdom,GB,EMEA,pipe bridge,,,,,,,gas,overhead,,52.466484,-1.0416751,2026-04-09T00:39:11.406049Z
38777486,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.1626282,-1.811106,2026-04-09T00:39:11.406351Z
39890239,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.3825732,-1.7934477,2026-04-09T00:39:11.406435Z
41749704,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.7005315,-1.7644081,2026-04-09T00:39:11.406495Z
42682761,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.2981644,-1.7285332,2026-04-09T00:39:11.406645Z
44043888,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.4992811,-1.6638405,2026-04-09T00:39:11.406767Z
48566921,way,gas_pipeline,United Kingdom,GB,EMEA,,National Grid Gas,,,,,,gas,underground,,52.1027658,0.0666519,2026-04-09T00:39:11.406936Z
50070331,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.4001085,-1.7621375,2026-04-09T00:39:11.407010Z
51798601,way,gas_pipeline,United Kingdom,GB,EMEA,National Transmission No. 2 Feeder,,,,,,,gas,underground,,52.4901987,-0.9070198,2026-04-09T00:39:11.407082Z
54633240,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.5285121,-1.6746475,2026-04-09T00:39:11.407200Z
55103127,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.251389,-1.4914592,2026-04-09T00:39:11.407222Z
57836783,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,51.3314798,-0.5424465,2026-04-09T00:39:11.407370Z
60638598,way,gas_pipeline,United Kingdom,GB,EMEA,NTS Feeder 14,,,,,,,gas_topology,underground,,51.697397,-2.388865,2026-04-09T00:39:11.407668Z
64961020,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underwater,,55.8555365,-5.0613446,2026-04-09T00:39:11.407755Z
72597437,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,,,51.4976014,-2.5435143,2026-04-09T00:39:11.408980Z
83103630,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,,,52.5294915,-1.726428,2026-04-09T00:39:11.409399Z
93741598,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,52.5109708,-2.1781737,2026-04-09T00:39:11.411147Z
94947763,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,53.9643705,-1.7001967,2026-04-09T00:39:11.411404Z
96144144,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,51.3335961,0.2861269,2026-04-09T00:39:11.412055Z
96696870,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,underground,,51.5946175,-2.4417173,2026-04-09T00:39:11.412165Z
98491284,way,gas_pipeline,United Kingdom,GB,EMEA,,,,,,,,gas,,,52.4574586,0.8160664,2026-04-09T00:39:11.412351Z
